%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1651207311107738310,1127,1651207311106536125,imu_link,-3.31156349182e-05,8.03857517242e-06,5.40543823242e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311119061501,1128,1651207311118271230,imu_link,-3.46171455383e-05,8.74355316162e-06,5.26810493469e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311125621457,1129,1651207311124413022,imu_link,-3.31156349182e-05,9.50346374512e-06,5.40818519592e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311138240191,1130,1651207311136310655,imu_link,-3.23740348816e-05,9.54008579254e-06,5.61784706116e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311149352240,1131,1651207311148290588,imu_link,-3.15958137512e-05,8.71608638763e-06,5.12710952759e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311155886012,1132,1651207311154362859,imu_link,-3.31339454651e-05,6.61946487427e-06,5.68285179138e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311167424848,1133,1651207311166412195,imu_link,-3.31156349182e-05,6.55537605286e-06,5.33310966492e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311179271415,1134,1651207311178388388,imu_link,-3.6109500885e-05,6.50959825516e-06,5.1252784729e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311184828546,1135,1651207311184344599,imu_link,-3.38663902283e-05,9.48515319824e-06,5.33860282898e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311196860048,1136,1651207311196251623,imu_link,-3.38755455017e-05,1.09775075912e-05,5.48142967224e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311208932725,1137,1651207311208381740,imu_link,-3.68694114685e-05,7.26035356522e-06,5.19669189453e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311214839618,1138,1651207311214344248,imu_link,-3.61369667053e-05,7.31528663635e-06,5.47593612671e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311226745527,1139,1651207311226233136,imu_link,-3.53953666687e-05,9.56755256653e-06,5.75975837708e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311238919409,1140,1651207311238282989,imu_link,-3.16232795715e-05,7.32444238663e-06,5.5436870575e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311244899488,1141,1651207311244402539,imu_link,-3.23557243347e-05,8.74355316162e-06,5.26718940735e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311256746745,1142,1651207311256315672,imu_link,-3.38847007751e-05,7.34275341034e-06,5.61510047913e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311268967857,1143,1651207311268452944,imu_link,-3.31247901917e-05,7.31528663635e-06,5.47410507202e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311274945007,1144,1651207311274429904,imu_link,-3.45988349915e-05,9.43021965027e-06,5.0593585968e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311288063962,1145,1651207311286465290,imu_link,-3.08542137146e-05,8.02026462555e-06,5.3349407196e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311301535268,1146,1651207311299151201,imu_link,-3.38755455017e-05,7.31528663635e-06,5.47502059937e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311305735248,1147,1651207311304520398,imu_link,-3.53862113953e-05,8.05688667297e-06,5.54734954834e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311318347956,1148,1651207311316481844,imu_link,-3.2383190155e-05,9.55839729309e-06,5.6874294281e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311331008838,1149,1651207311328447982,imu_link,-3.23648796082e-05,7.28781986237e-06,5.33402519226e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311335633722,1150,1651207311334523371,imu_link,-3.76476325989e-05,9.54008579254e-06,5.62059402466e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311348334522,1151,1651207311346488775,imu_link,-3.53862113953e-05,9.52177524567e-06,5.55009613037e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311360334237,1152,1651207311358483939,imu_link,-3.61278114319e-05,7.28781986237e-06,5.33677177429e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311367370721,1153,1651207311364597423,imu_link,-3.38755455017e-05,1.17374191284e-05,5.62242507935e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311376864540,1154,1651207311376304303,imu_link,-3.46263008118e-05,6.58284235001e-06,5.47410507202e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311388781714,1155,1651207311388305459,imu_link,-3.53679008484e-05,9.48515319824e-06,5.33951835632e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311394933900,1156,1651207311394305637,imu_link,-3.23740348816e-05,9.5309305191e-06,5.54826507568e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311406900693,1157,1651207311406371309,imu_link,-3.61186561584e-05,1.24240856171e-05,5.3459274292e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
